Slice	Channel	C01	C01x	C02	C02x	C03	C03x	C04	C04x	C05	C05x	C06	C06x	C07	C07x	C08	C08x	C09	C09x	C10	C10x	C11	C11x	C12	C12x
136	3	2.263	1293.881	147.633	1187.263	31.458	1248.834	-13.928	1187.072	11.139	1151.996							94.599	1188.994	28.154	1191.94	30.982	1197.202	18.038	1112.342
139	1	13.271	190.176	106.607	194.755	102.277	204.146	185.636	194.673	251.068	180.558							344.121	196.878	41.51	188.069	171.675	192.56	44.973	185.083
139	2	-1.489	352.13	41.349	364.992	75.045	375.409	99.318	347.878	139.252	321.188							145.824	350.271	32.337	343.53	84.551	349.118	38.141	331.811
139	3	5.924	1280.803	156.601	1162.766	34.84	1212.347	-7.626	1180.217	36.223	1117.584							2.581	1259.472	10.312	1189.329	31.329	1191.636	39.638	1089.661
142	1	13.664	192.244	105.848	196.179	106.06	198.395	180.42	192.578	223.04	181.074							360.982	194.575	42.845	190.397	152.042	192.715	46.466	185.228
142	2	-0.135	355.502	41.729	368.428	78.657	368.322	98.623	349.971	126.371	322.519							152.045	354.303	31.129	348.357	75.305	351.178	35.899	332.014
142	3	0.447	1279.189	167.895	1148.579	79.864	1160.74	-10.149	1178.29	28.331	1103.503							43.336	1220.263	6.46	1199.618	27.357	1190.279	12.684	1086.288
145	1	14.11	191.898	107.915	196.733	106.423	197.976	169.725	194.738	200.558	181.982							437.446	193.227	44.576	191.024	144.154	192.406	48.289	186.461
145	2	1.975	355.568	42.863	369.184	74.528	368.906	90.159	354.017	110.931	325.547							184.058	356.442	27.603	350.592	68.713	355.068	37.604	335.217
145	3	-10.201	1278.518	175.993	1132.341	66.759	1160.402	-17.626	1166.638	-0.301	1133.55							39.439	1206.159	-4.352	1194.246	40.553	1172.097	18.909	1085.182
148	1	12.003	194.076	112.421	198.575	94.187	200.127	165.278	193.957	133.561	182.089							468.944	200.98	46.356	189.248	132.221	194.298	49.163	186.255
148	2	0.856	357.469	44.115	370.566	58.939	374.912	85.38	351.336	77.65	326.396							206.933	358.493	34.853	345.453	59.463	362.388	30.325	335.378
148	3	-2.437	1273.41	172.036	1131.567	59.437	1154.751	-10.146	1174.236	1.392	1128.334							13.697	1235.736	56.384	1131.279	68.789	1142.508	6.762	1086.805
151	1	11.775	193.967	111.028	199.4	103.069	200.922	145.671	207.28	154.156	183.171							460.563	196.769	38.01	194.692	115.664	195.385	56.08	187.267
151	2	0.754	360.189	46.383	375.247	76.297	376.359	78.915	363.08	92.866	328.444							211.939	361.438	20.995	361.013	59.178	363.493	43.901	336.447
151	3	2.465	1261.878	174.531	1116.012	76.385	1143.117	4.572	1159.329	45.58	1096.321							-18.198	1238.372	6.11	1175.632	78.366	1135.432	-27.518	1097.203
154	1	11.178	191.926	101.577	199.494	100.397	201.136	136.909	195.048	136.488	183.702							453.7	195.39	37.471	193.621	94.276	196.076	53.085	187.12
154	2	0.845	359.212	46.499	375.16	76.62	376.575	83.207	353.016	88.065	328.542							225.758	362.491	26.217	357.727	50.061	365.743	38.443	337.649
154	3	-23.491	1267.868	174.917	1119.357	81.326	1135.581	-3.281	1171.019	79.117	1087.949							-42.245	1254.261	7.666	1176.943	84.341	1143.333	-1.715	1068.894
157	1	10.846	192.197	118.152	197.508	96.252	200.225	145.464	192.153	135.466	183.051							495.433	195.133	40.556	194.408	98.663	193.317	58.01	186.802
157	2	-3.356	363.172	54.571	375.8	75.737	377.846	86.306	351.402	81.167	328.908							235.458	366.353	22.487	363.102	57.447	360.441	38.392	338.698
157	3	-24.671	1277.413	180.71	1105.651	64.484	1151.914	6.996	1171.276	72.649	1073.875							4.993	1205.255	12.429	1173.465	73.398	1129.187	-8.243	1075.75
160	1	13.479	193.338	130.691	198.673	90.438	200.267	134.84	192.568	120.126	194.162							472.066	196.149	41.269	194.988	89.081	193.127	56.116	186.979
160	2	0.877	361.101	53.655	378.25	73.307	379.338	78.572	353.959	47.238	361.59							222.529	366.806	20.651	364.882	49.739	363.673	39.343	341.029
160	3	-15.702	1266.401	169.332	1105.531	96.938	1112.261	-19.709	1172.686	1.594	1134.018							-24.335	1230.736	24.431	1158.187	68.976	1121.254	-1.169	1065.103
163	1	12.513	192.806	135.282	198.662	81.344	200.435	125.754	193.052	102.319	185.55							446.56	196.407	43.75	195.313	84.041	194.813	53.543	189.301
163	2	0.262	366.165	60.001	380.888	53.588	382.021	75.197	355.269	65.09	333.848							221.875	368.615	27.274	365.278	53.419	365.958	29.768	347.347
163	3	-7.707	1259.497	183.392	1083.585	80.392	1133.001	-7.611	1162.159	19.559	1102.277							-34.002	1223.85	6.408	1164.365	51.648	1116.019	-1.12	1065.638
